Tipo de Incidencia,Clave de incidencia,ID de la incidencia,Resumen,Persona asignada,ID de la persona asignada,Informador,ID del informador,Prioridad,Estado,Resolución,Creada,Actualizada,Fecha de vencimiento
Epic,MP-5,10004,E1 — Gestión de mascotas y perfiles,,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 11:12 AM,09/ago/26 11:12 AM,
Epic,MP-6,10005,E2 — Procesos de adopción,,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 11:24 AM,09/ago/26 11:24 AM,
Epic,MP-7,10006,E3 — Cruza responsable y salud animal,,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 11:24 AM,09/ago/26 11:24 AM,
Epic,MP-8,10007,"E4 — Privacidad, consentimiento y cumplimiento legal",,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 11:24 AM,09/ago/26 11:24 AM,
Epic,MP-9,10008,"E5 — Comunicación, avisos y notificaciones",,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 11:24 AM,09/ago/26 11:24 AM,
Historia,MP-10,10009,RF-01 — Registrar mascota,,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 11:46 AM,09/ago/26 2:30 PM,
Historia,MP-11,10010,RF-02 — Gestionar historial médico,,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 11:52 AM,09/ago/26 2:39 PM,
Historia,MP-12,10011,RF-03 — Consultar perfil completo,,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 11:54 AM,09/ago/26 2:45 PM,
Historia,MP-13,10012,RF-04 — Buscar y filtrar mascotas,,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 11:56 AM,09/ago/26 2:53 PM,
Historia,MP-14,10013,RF-05 — Gestionar solicitudes de adopción,,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 12:04 PM,09/ago/26 2:56 PM,
Historia,MP-15,10014,RF-06 — Evaluar compatibilidad entre mascotas para cruza,,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 12:12 PM,09/ago/26 3:13 PM,
Historia,MP-16,10015,RF-07 — Sistema de mensajería entre usuarios,,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 12:14 PM,09/ago/26 3:40 PM,
Historia,MP-17,10016,RF-08 — Gestionar solicitudes de cruza,,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 12:17 PM,09/ago/26 3:43 PM,
Historia,MP-18,10017,RF-09 — Validar la información médica de una mascota,,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 12:22 PM,09/ago/26 3:51 PM,
Historia,MP-19,10018,RF-10 — Gestionar recordatorios de controles preventivos,,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 12:24 PM,09/ago/26 3:55 PM,
Historia,MP-20,10019,RF-11 — Administrar la privacidad de la información,,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 12:28 PM,09/ago/26 4:02 PM,
Historia,MP-21,10020,RF-12 — Verificar la identidad de los usuarios,,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 12:30 PM,09/ago/26 4:07 PM,
Historia,MP-22,10021,RF-13 — Registrar publicaciones de mascotas,,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 12:35 PM,09/ago/26 4:10 PM,
Historia,MP-23,10022,RF-14 — Gestionar carnet de vacunación,,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 12:36 PM,09/ago/26 4:13 PM,
Historia,MP-24,10023,RF-15 — Consultar el historial de procesos de adopción y cruza,,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 12:38 PM,09/ago/26 4:15 PM,
Historia,MP-25,10024,RF-16 — Gestionar antecedentes genéticos y parentesco de la mascota,,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 12:40 PM,09/ago/26 4:17 PM,
Historia,MP-26,10025,RF-17 — Validar imágenes,,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 12:42 PM,09/ago/26 4:19 PM,
Historia,MP-27,10026,RF-18 — Gestionar el flujo de solicitud de adopción por etapas,,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 12:44 PM,09/ago/26 4:39 PM,
Historia,MP-28,10027,RF-19 — Validar certificados veterinarios antes de habilitar la cruza,,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 12:45 PM,09/ago/26 4:55 PM,
Historia,MP-29,10028,RF-20 — Coordinar encuentros de socialización supervisados,,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 12:48 PM,09/ago/26 5:00 PM,
Historia,MP-30,10029,RF-21 — Registrar el identificador de microchip de la mascota,,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 12:49 PM,09/ago/26 5:20 PM,
Historia,MP-31,10030,RF-22 — Dar seguimiento post-adopción,,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 12:51 PM,09/ago/26 5:26 PM,
Historia,MP-32,10031,RF-23 — Emitir alertas de riesgo sanitario o físico en interacciones y cruces,,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 12:53 PM,09/ago/26 5:28 PM,
Historia,MP-33,10032,"RF-24 — Registrar trazabilidad de cepa, lote y aplicador de cada vacuna",,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 12:54 PM,09/ago/26 5:35 PM,
Historia,MP-34,10033,RF-25 — Publicar aviso de mascota extraviada,,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 12:57 PM,09/ago/26 5:40 PM,
Historia,MP-35,10034,RF-26 — Contactar al publicador de un aviso de mascota extraviada,,,JIMMY SAMUEL NIEVES SANCHEZ,712020:2db4bb45-0cb8-435e-b950-4cc9a3a4f11e,Medium,Por hacer,,09/ago/26 12:59 PM,09/ago/26 5:44 PM,
